ID,LOC,LOCNAMM,WMC,WMCNAMM,NOM,NOMNAMM,NOA,AMW,AMWNAMM,NOAM,WOC,IS_GOD_CLASS
C-000002,53,53,9,9,7,7,0,1.2857142857142858,1.2857142857142858,0,1.0,0
C-000008,41,41,8,8,7,7,0,1.1428571428571428,1.1428571428571428,0,1.0,0
C-000009,88,88,24,24,9,9,0,2.6666666666666665,2.6666666666666665,0,1.0,0
C-000011,175,175,12,12,7,7,0,1.7142857142857142,1.7142857142857142,0,1.0,0
C-000012,19,13,3,1,3,1,2,1.0,1.0,2,0.2,0
C-000013,18,18,1,1,1,1,7,1.0,1.0,0,0.125,0
C-000015,46,46,5,5,5,5,1,1.0,1.0,0,0.8333333333333334,0
C-000019,63,63,18,18,5,5,4,3.6,3.6,0,0.5555555555555556,0
C-000021,38,38,5,5,3,3,2,1.6666666666666667,1.6666666666666667,0,0.6,0
C-000022,602,602,128,128,35,35,3,3.657142857142857,3.657142857142857,0,0.9210526315789472,1
C-000023,106,106,21,21,7,7,1,3.0,3.0,0,0.875,0
C-000026,298,298,54,54,29,29,3,1.862068965517241,1.862068965517241,0,0.90625,1
C-000028,52,52,5,5,3,3,1,1.6666666666666667,1.6666666666666667,0,0.75,0
C-000029,26,26,3,3,3,3,0,1.0,1.0,0,1.0,0
C-000030,162,162,26,26,15,15,1,1.7333333333333334,1.7333333333333334,0,0.9375,0
C-000034,67,67,18,18,4,4,0,4.5,4.5,0,1.0,0
C-000035,1248,1248,125,125,33,33,1,3.787878787878788,3.787878787878788,0,0.9705882352941176,1
C-000036,185,185,34,34,17,17,2,2.0,2.0,0,0.8947368421052632,0
C-000037,333,333,68,68,15,15,0,4.533333333333333,4.533333333333333,0,1.0,1
C-000038,1458,1458,294,294,88,88,0,3.340909090909091,3.340909090909091,0,1.0,1
C-000039,544,544,101,101,35,35,1,2.8857142857142857,2.8857142857142857,0,0.9722222222222222,1
C-000041,67,67,11,11,7,7,1,1.5714285714285714,1.5714285714285714,0,0.875,0
C-000043,77,77,15,15,7,7,2,2.142857142857143,2.142857142857143,0,0.7777777777777778,0
C-000044,10,10,1,1,1,1,0,1.0,1.0,0,1.0,0
C-000046,32,32,3,3,2,2,0,1.5,1.5,0,1.0,0
