ID,PROJECT,FILE,START,END,LOC,LOCNAMM,WMC,WMCNAMM,NOM,NOMNAMM,NOA,AMW,AMWNAMM,NOAM,WOC,is_god_class
C-000002,MapTalks,src/control/Control.Compass.js,23,75,53,53,9,9,7,7,0,1.2857142857142858,1.2857142857142858,0,1.0,0
C-000008,MapTalks,src/control/Control.Reset.js,24,64,41,41,8,8,7,7,0,1.1428571428571428,1.1428571428571428,0,1.0,0
C-000009,MapTalks,src/control/Control.Scale.js,40,127,88,88,24,24,9,9,0,2.6666666666666665,2.6666666666666665,0,1.0,0
C-000011,MapTalks,src/control/Control.Zoom.js,36,210,175,175,12,12,7,7,0,1.7142857142857142,1.7142857142857142,0,1.0,0
C-000012,MapTalks,src/core/Animation.js,89,107,19,13,3,1,3,1,2,1.0,1.0,2,0.2,0
C-000013,MapTalks,src/core/Animation.js,114,131,18,18,1,1,1,1,7,1.0,1.0,0,0.125,0
C-000015,MapTalks,src/core/CollisionIndex.js,15,60,46,46,5,5,5,5,1,1.0,1.0,0,0.8333333333333334,0
C-000019,MapTalks,src/core/worker/WorkerPool.js,42,104,63,63,18,18,5,5,4,3.6,3.6,0,0.5555555555555556,0
C-000021,MapTalks,src/geo/CRS.js,6,43,38,38,5,5,3,3,2,1.6666666666666667,1.6666666666666667,0,0.6,0
C-000022,MapTalks,src/geo/Extent.js,40,641,602,602,128,128,35,35,3,3.657142857142857,3.657142857142857,0,0.9210526315789472,1
C-000023,MapTalks,src/geo/measurer/Sphere.js,10,115,106,106,21,21,7,7,1,3.0,3.0,0,0.875,0
C-000026,MapTalks,src/geo/Position.js,8,305,298,298,54,54,29,29,3,1.862068965517241,1.862068965517241,0,0.90625,1
C-000028,MapTalks,src/geo/transformation/Transformation.js,11,62,52,52,5,5,3,3,1,1.6666666666666667,1.6666666666666667,0,0.75,0
C-000029,MapTalks,src/geometry/ArcCurve.js,36,61,26,26,3,3,3,3,0,1.0,1.0,0,1.0,0
C-000030,MapTalks,src/geometry/Circle.js,33,194,162,162,26,26,15,15,1,1.7333333333333334,1.7333333333333334,0,0.9375,0
C-000034,MapTalks,src/geometry/Curve.js,19,85,67,67,18,18,4,4,0,4.5,4.5,0,1.0,0
C-000035,MapTalks,src/geometry/editor/GeometryEditor.js,47,1294,1248,1248,125,125,33,33,1,3.787878787878788,3.787878787878788,0,0.9705882352941176,1
C-000036,MapTalks,src/geometry/Ellipse.js,28,212,185,185,34,34,17,17,2,2.0,2.0,0,0.8947368421052632,0
C-000037,MapTalks,src/geometry/ext/Geometry.Drag.js,22,354,333,333,68,68,15,15,0,4.533333333333333,4.533333333333333,0,1.0,1
C-000038,MapTalks,src/geometry/Geometry.js,72,1529,1458,1458,294,294,88,88,0,3.340909090909091,3.340909090909091,0,1.0,1
C-000039,MapTalks,src/geometry/GeometryCollection.js,23,566,544,544,101,101,35,35,1,2.8857142857142857,2.8857142857142857,0,0.9722222222222222,1
C-000041,MapTalks,src/geometry/LineString.js,32,98,67,67,11,11,7,7,1,1.5714285714285714,1.5714285714285714,0,0.875,0
C-000043,MapTalks,src/geometry/MultiGeometry.js,10,86,77,77,15,15,7,7,2,2.142857142857143,2.142857142857143,0,0.7777777777777778,0
C-000044,MapTalks,src/geometry/MultiLineString.js,35,44,10,10,1,1,1,1,0,1.0,1.0,0,1.0,0
C-000046,MapTalks,src/geometry/MultiPoint.js,18,49,32,32,3,3,2,2,0,1.5,1.5,0,1.0,0
C-000047,MapTalks,src/geometry/MultiPolygon.js,45,54,10,10,1,1,1,1,0,1.0,1.0,0,1.0,0
C-000048,MapTalks,src/geometry/Path.js,41,417,377,377,75,75,17,17,0,4.411764705882353,4.411764705882353,0,1.0,1
C-000049,MapTalks,src/geometry/Polygon.js,27,287,261,261,55,55,21,21,1,2.619047619047619,2.619047619047619,0,0.9545454545454546,1
C-000050,MapTalks,src/geometry/QuadBezierCurve.js,24,52,29,29,4,4,4,4,0,1.0,1.0,0,1.0,0
C-000051,MapTalks,src/geometry/Rectangle.js,16,297,282,282,56,56,25,25,2,2.24,2.24,0,0.925925925925926,1
C-000052,MapTalks,src/geometry/Sector.js,24,169,146,146,21,21,11,11,2,1.9090909090909087,1.9090909090909087,0,0.8461538461538461,0
C-000053,MapTalks,src/geometry/TextBox.js,63,337,275,275,59,59,14,14,3,4.214285714285714,4.214285714285714,0,0.8235294117647058,1
