ID,PROJECT,FILE,START,END,LOC,CYCLO,MAXNESTING,NOAV,NOLV,NOP,MaMCL,MeMCL,EMBEDDING,TL_RESULT,IS_LONG_METHOD
M-000024,MapTalks,src/control/Control.js,190,211,22,3,1,0,0,0,1,0.0,-0.5018366575241089,0,0
M-000085,MapTalks,src/control/Control.Zoom.js,151,154,4,1,0,0,0,1,1,0.0,-0.9386842846870422,0,0
M-000086,MapTalks,src/control/Control.Zoom.js,156,159,4,1,0,0,0,1,1,0.0,-0.9283981323242188,0,0
M-000135,MapTalks,src/core/util/LRUCache.js,163,167,5,2,0,0,0,2,1,0.0,-0.8717379570007324,0,0
M-000191,MapTalks,src/geo/Extent.js,390,397,8,1,0,0,0,4,1,0.0,-0.724898099899292,0,0
M-000225,MapTalks,src/geo/Position.js,60,64,5,1,0,0,0,0,1,0.0,-0.730670154094696,0,0
M-000257,MapTalks,src/geo/Size.js,82,86,5,1,0,0,0,0,1,0.0,-0.657339870929718,0,0
M-000269,MapTalks,src/geometry/CenterMixin.js,41,52,12,4,1,2,2,1,1,0.0,-0.017488893121480942,0,0
M-000315,MapTalks,src/geometry/editor/GeometryEditor.js,110,177,68,22,2,3,3,0,1,0.0,0.18875275552272797,0,1
M-000327,MapTalks,src/geometry/editor/GeometryEditor.js,512,645,134,15,5,6,6,0,1,0.0,0.39814603328704834,1,1
M-000371,MapTalks,src/geometry/ext/Geometry.Drag.js,167,257,91,20,3,11,11,1,1,0.0,0.23569132387638092,1,1
M-000590,MapTalks,src/geometry/Rectangle.js,79,83,5,1,0,0,0,1,1,0.0,-0.9335004687309265,0,0
M-000598,MapTalks,src/geometry/Rectangle.js,162,185,24,5,3,7,7,0,1,0.0,-0.14178083837032318,0,0
M-000632,MapTalks,src/geometry/TextBox.js,189,291,103,29,5,5,5,0,1,0.0,0.38591673970222473,1,1
M-000646,MapTalks,src/handler/Drag.js,28,32,5,1,0,0,0,2,1,0.0,-0.897340714931488,0,0
M-000701,MapTalks,src/layer/ImageLayer.js,286,291,6,2,1,0,0,1,1,0.0,-0.8755147457122803,0,0
M-000713,MapTalks,src/layer/Layer.js,225,238,14,1,0,0,0,1,1,0.0,-0.8608027696609497,0,0
M-000754,MapTalks,src/layer/OverlayLayer.js,197,279,83,24,6,2,2,2,1,0.0,0.046032145619392395,1,1
