ID,EMBEDDING,IS_LONG_METHOD
M-000024,-0.5018366575241089,0
M-000085,-0.9386842846870422,0
M-000086,-0.9283981323242188,0
M-000135,-0.8717379570007324,0
M-000191,-0.724898099899292,0
M-000225,-0.730670154094696,0
M-000257,-0.657339870929718,0
M-000269,-0.017488893121480942,0
M-000315,0.18875275552272797,1
M-000327,0.39814603328704834,1
M-000371,0.23569132387638092,1
M-000590,-0.9335004687309265,0
M-000598,-0.14178083837032318,0
M-000632,0.38591673970222473,1
M-000646,-0.897340714931488,0
M-000701,-0.8755147457122803,0
M-000713,-0.8608027696609497,0
M-000754,0.046032145619392395,1
M-000788,-0.7440270185470581,0
M-000839,0.34672948718070984,1
M-000846,-0.7187327146530151,0
M-000851,0.36962205171585083,1
M-000914,0.2149333953857422,1
M-001110,-0.7596609592437744,0
M-001145,-0.430434912443161,0
M-001183,0.3388722538948059,1
M-001184,0.3838340640068054,1
M-001185,0.26170578598976135,1
M-001207,-0.948449432849884,0
M-001226,-0.15893831849098206,0
M-001230,-0.8004778027534485,0
M-001281,-0.27512940764427185,0
M-001382,0.17142970860004425,0
M-001426,0.3825034201145172,1
M-001493,0.09378255903720856,1
M-001501,-0.8042371273040771,0
M-001506,-0.5792217254638672,0
M-001541,-0.9420767426490784,0
M-001571,0.13740412890911102,1
M-001578,0.3520010709762573,1
M-001584,0.27879470586776733,1
M-001679,-0.9328975677490234,0
M-001686,0.22768989205360413,1
M-001916,-0.8391233682632446,0
M-001936,-0.25628861784935,0
M-001946,-0.24112184345722198,0
M-001947,-0.90968257188797,0
M-001982,-0.7265215516090393,0
M-001983,-0.7766495943069458,0
M-002154,-0.8681520223617554,0
M-002188,-0.916864275932312,0
M-002192,0.5017105937004089,1
M-002194,-0.8652170300483704,0
M-002278,-0.9029152989387512,0
M-002294,0.3981148600578308,1
M-002325,-0.23425042629241943,0
M-002331,-0.7809838652610779,0
M-002438,-0.18007278442382812,0
M-002507,-0.5069755911827087,0
M-002657,-0.7094690203666687,0
M-002692,0.323027104139328,1
M-002720,-0.289132297039032,0
M-002722,0.1802482008934021,1
M-002727,-0.3349987268447876,0
M-002997,-0.24327079951763153,0
M-003008,-0.9083983898162842,0
M-003048,-0.22763006389141083,0
M-003160,-0.3568296730518341,0
M-003354,-0.8119409084320068,0
M-003394,0.32761406898498535,1
M-003395,-0.21218949556350708,0
M-003403,-0.2719470262527466,0
M-003410,-0.8573454022407532,0
M-003454,0.293069988489151,1
M-003496,-0.45579731464385986,0
M-003559,-0.3728926479816437,0
M-003583,0.3940368890762329,1
M-003588,-0.0009600184857845306,0
M-003612,0.09371524304151535,1
M-003667,-0.8880996704101562,0
M-003685,-0.6806412935256958,0
M-003725,-0.11983043700456619,1
M-003750,0.43876907229423523,1
M-003760,-0.4505394697189331,0
M-003825,-0.9016546607017517,0
M-003845,-0.8903884291648865,0
M-003857,-0.8901054859161377,0
M-003861,0.1286463886499405,1
M-003870,0.38053762912750244,1
M-003982,-0.8871800899505615,0
M-004080,-0.8457673788070679,0
M-004161,-0.8966906666755676,0
M-004193,-0.7862916588783264,0
M-004248,-0.888613224029541,0
M-004272,0.27946215867996216,1
M-004311,0.5559961199760437,1
M-004371,-0.880247950553894,0
M-004376,0.34464988112449646,1
M-004419,-0.3806528151035309,0
M-004475,-0.24396927654743195,0
M-004497,0.37597787380218506,1
