ID,LOC,CYCLO,MAXNESTING,NOAV,NOLV,NOP,MaMCL,MeMCL,IS_LONG_METHOD
M-000024,22,3,1,0,0,0,1,0.0,0
M-000085,4,1,0,0,0,1,1,0.0,0
M-000086,4,1,0,0,0,1,1,0.0,0
M-000135,5,2,0,0,0,2,1,0.0,0
M-000191,8,1,0,0,0,4,1,0.0,0
M-000225,5,1,0,0,0,0,1,0.0,0
M-000257,5,1,0,0,0,0,1,0.0,0
M-000269,12,4,1,2,2,1,1,0.0,0
M-000315,68,22,2,3,3,0,1,0.0,1
M-000327,134,15,5,6,6,0,1,0.0,1
M-000371,91,20,3,11,11,1,1,0.0,1
M-000590,5,1,0,0,0,1,1,0.0,0
M-000598,24,5,3,7,7,0,1,0.0,0
M-000632,103,29,5,5,5,0,1,0.0,1
M-000646,5,1,0,0,0,2,1,0.0,0
M-000701,6,2,1,0,0,1,1,0.0,0
M-000713,14,1,0,0,0,1,1,0.0,0
M-000754,83,24,6,2,2,2,1,0.0,1
M-000788,7,2,1,0,0,2,1,0.0,0
M-000839,106,17,5,20,20,9,1,0.0,1
M-000846,8,1,0,1,1,0,1,0.0,0
M-000851,230,55,8,32,32,5,1,0.0,1
M-000914,200,32,8,11,11,2,1,0.0,1
M-001110,8,2,1,2,2,0,1,0.0,0
M-001145,14,4,2,0,0,0,1,0.0,0
M-001183,82,26,4,13,13,5,1,0.0,1
M-001184,155,23,8,8,8,7,1,0.0,1
M-001185,114,22,5,7,7,2,1,0.0,1
M-001207,4,1,0,0,0,0,1,0.0,0
M-001226,38,9,4,9,9,1,1,0.0,0
M-001230,4,3,0,1,1,0,1,0.0,0
M-001281,21,11,1,2,2,2,1,0.0,0
M-001382,22,1,0,1,1,5,1,0.0,0
M-001426,126,29,8,15,15,0,1,0.0,1
M-001493,95,21,3,9,9,0,1,0.0,1
M-001501,8,3,3,0,0,0,1,0.0,0
M-001506,23,2,1,1,1,1,1,0.0,0
M-001541,4,1,0,0,0,1,1,0.0,0
M-001571,85,22,4,15,15,1,1,0.0,1
M-001578,100,35,5,11,11,2,1,0.0,1
M-001584,78,19,4,7,7,1,1,0.0,1
M-001679,5,1,0,0,0,0,1,0.0,0
M-001686,129,24,3,7,7,1,1,0.0,1
M-001916,7,2,0,0,0,0,1,0.0,0
M-001936,27,2,3,0,0,1,1,0.0,0
M-001946,18,3,3,0,0,0,1,0.0,0
M-001947,4,1,0,0,0,2,1,0.0,0
M-001982,9,3,1,0,0,0,1,0.0,0
M-001983,7,1,0,0,0,0,1,0.0,0
M-002154,6,2,0,0,0,0,1,0.0,0
M-002188,4,1,0,0,0,1,1,0.0,0
M-002192,136,23,5,5,5,1,4,3.5,1
M-002194,5,1,0,0,0,1,1,0.0,0
M-002278,6,1,2,0,0,1,1,0.0,0
M-002294,58,13,4,0,0,2,1,0.0,1
M-002325,21,2,4,0,0,1,1,0.0,0
M-002331,6,1,1,0,0,3,1,0.0,0
M-002438,13,2,4,0,0,1,1,0.0,0
M-002507,25,2,0,1,1,0,1,0.0,0
M-002657,5,4,2,0,0,1,1,0.0,0
M-002692,169,23,5,3,3,1,1,0.0,1
M-002720,13,2,1,0,0,2,1,0.0,0
M-002722,156,18,2,4,4,3,1,0.0,1
M-002727,71,2,3,0,0,0,1,0.0,0
M-002997,28,7,3,0,0,0,1,0.0,0
M-003008,4,2,0,1,1,0,1,0.0,0
M-003048,17,4,3,0,0,2,1,0.0,0
M-003160,35,6,2,3,3,2,1,0.0,0
M-003354,4,2,0,1,1,1,1,0.0,0
M-003394,144,13,9,6,6,4,1,0.0,1
M-003395,35,7,3,1,1,2,1,0.0,0
M-003403,12,4,3,0,0,1,1,0.0,0
M-003410,6,1,0,0,0,2,1,0.0,0
M-003454,87,22,2,8,8,2,1,0.0,1
M-003496,15,1,4,0,0,2,3,3.0,0
M-003559,84,3,4,2,2,0,1,0.0,0
M-003583,114,27,8,3,3,0,1,0.0,1
M-003588,40,6,2,9,9,1,1,0.0,0
M-003612,107,26,4,11,11,1,1,0.0,1
M-003667,5,1,0,0,0,0,1,0.0,0
M-003685,9,2,1,0,0,0,1,0.0,0
M-003725,140,14,7,15,15,0,1,0.0,1
M-003750,134,12,6,12,12,2,1,0.0,1
M-003760,11,1,0,0,0,1,1,0.0,0
M-003825,5,2,0,0,0,0,1,0.0,0
M-003845,4,1,0,0,0,1,1,0.0,0
M-003857,6,2,1,0,0,0,1,0.0,0
M-003861,181,35,3,2,2,1,1,0.0,1
M-003870,136,32,4,1,1,1,1,0.0,1
M-003982,4,2,0,1,1,1,1,0.0,0
M-004080,5,1,1,0,0,1,1,0.0,0
M-004161,4,1,0,0,0,1,1,0.0,0
M-004193,6,3,0,1,1,0,1,0.0,0
M-004248,7,2,1,0,0,0,1,0.0,0
M-004272,33,9,2,0,0,4,1,0.0,1
M-004311,139,22,7,1,1,3,3,3.0,1
M-004371,5,1,0,0,0,1,1,0.0,0
M-004376,41,9,6,0,0,0,1,0.0,1
M-004419,20,1,1,0,0,1,1,0.0,0
M-004475,14,4,2,1,1,2,1,0.0,0
M-004497,104,17,8,3,3,2,3,3.0,1
M-004561,4,1,0,0,0,1,1,0.0,0
M-004562,5,1,0,0,0,1,1,0.0,0
M-004686,4,1,0,0,0,1,1,0.0,0
M-004692,173,53,4,0,0,2,1,0.0,1
M-004809,5,1,0,0,0,0,1,0.0,0
M-004818,20,1,4,2,2,0,1,0.0,0
M-004828,44,5,2,3,3,1,1,0.0,0
M-004831,23,8,3,6,6,0,1,0.0,0
M-004839,5,1,0,0,0,2,1,0.0,0
M-004874,17,4,2,3,3,4,1,0.0,0
M-004894,41,9,3,2,2,0,1,0.0,0
M-004912,8,2,1,1,1,4,1,0.0,0
M-004925,19,2,1,2,2,0,1,0.0,0
M-004927,8,2,1,0,0,0,1,0.0,0
M-004940,24,1,0,0,0,2,1,0.0,0
M-004970,21,5,1,1,1,3,1,0.0,0
M-004985,28,5,2,5,5,1,1,0.0,0
M-004989,9,2,1,0,0,1,1,0.0,0
M-005006,11,2,1,1,1,1,1,0.0,0
M-005028,80,1,0,0,0,1,1,0.0,0
M-005037,4,1,0,0,0,0,1,0.0,0
M-005074,4,2,0,1,1,1,1,0.0,0
M-005076,7,5,0,2,2,0,1,0.0,0
M-005080,130,18,3,18,18,1,1,0.0,1
M-005081,176,38,5,16,16,1,1,0.0,1
M-005088,31,4,1,8,8,0,1,0.0,0
M-005090,32,6,2,11,11,0,1,0.0,0
M-005092,35,7,3,4,4,0,1,0.0,1
M-005101,14,2,1,0,0,1,1,0.0,0
M-005146,34,7,4,6,6,0,1,0.0,0
M-005157,24,3,2,6,6,1,1,0.0,0
M-005171,56,6,2,12,12,3,1,0.0,1
